問題番号,問題文,選択肢A,選択肢B,選択肢C,選択肢D,正解,解説
1,C++における「クラス」と「オブジェクト（インスタンス）」の関係として、最も適切なものはどれか。,クラスは具体的なデータであり、オブジェクトはその設計図である。,クラスは設計図であり、オブジェクトはその設計図に基づいて生成された実体である。,クラスとオブジェクトは常に一対一で対応し、同じ意味で使われる。,オブジェクトをコンパイルしたものがクラスである。,B,クラスは「設計図」、オブジェクト（インスタンス）はその設計図から作られた「実体」です。\n例：class Player {}; は設計図で、Player player; と書くことで player という実体（オブジェクト）が作られます。
2,クラスから実体（オブジェクト）を作成する操作を何と呼ぶか。,カプセル化,インスタンス化,初期化,抽象化,B,クラスからオブジェクトを生成することをインスタンス化と呼びます。\n 例：Player player; この1行でPlayerクラスのインスタンスが生成されています。
3,クラスの外部から直接アクセスできないように制限をかけるアクセス修飾子はどれか。,public,protected,internal,private,D,privateで宣言したメンバ変数やメンバ関数は、クラスの外部から直接アクセスできません。\n 例：class Player { private: int hp; }; の場合、player.hp = 100; はエラーになります。これはデータを安全に管理するためです。
4,クラスの外部からも、継承先のクラスからも自由にアクセスできるアクセス修飾子はどれか。,public,private,secret,friend,A,publicは誰でも利用できる公開部分です。\n例：class Player { public: void Move(); }; なら player.Move(); と自由に呼び出せます。
5,データ（メンバ変数）と、それを操作する関数（メンバ関数）を一つにまとめ、外部から直接データを変更できないようにする考え方を何というか。,多態性（ポリモーフィズム）,継承,カプセル化,オーバーロード,C,カプセル化とは、データとそれを操作する関数を1つのクラスにまとめることです。\n例えばHPを直接変更させず、player.Damage(10); のような関数を通して変更することで、安全なプログラムになります。
6,コンストラクタの説明として、最も適切なものはどれか。,オブジェクトが破棄される直前に自動で実行される関数。,オブジェクトが生成されたときに一度だけ自動で実行され、初期化を行う特別な関数。,クラスをコピーするために手動で呼び出す関数。,メモリを解放するためにプログラマが明示的に呼び出す関数。,B,コンストラクタはオブジェクト生成時に自動で呼ばれます。\n Player player; と書いた瞬間にコンストラクタが実行され、初期化が行われます。
7,クラス名が Car の場合、デストラクタの名前として正しいものはどれか。,~Car(),!Car(),delete Car(),end Car(),A,デストラクタは ~クラス名() という名前になります。\nオブジェクトが破棄される直前に自動で呼ばれます。
8,プログラマがコンストラクタを1つも宣言しなかった場合、どうなるか。,コンパイルエラーになる。,コンパイラが引数なしのデフォルトコンストラクタを自動生成する。,実行時にメモリ不足で強制終了する。,オブジェクトを生成できなくなる。,B,何もコンストラクタを書かなければ、コンパイラが Player() を自動生成します。\nただし、一度でも自分でコンストラクタを書くと、自動生成されない場合があるので注意しましょう。
9,コンストラクタ本体が実行される前にメンバ変数を初期化するための記法を何というか。,初期化ブロック,メンバ初期化リスト（イニシャライザリスト）,プリプロセッサ,インライン初期化,B,": hp(100),score(0) の部分がメンバ初期化リストです。\n代入よりも効率が良く、constメンバや参照メンバの初期化にも必須です。"
10,既存のクラスの機能を引き継いで、新しいクラスを定義する仕組みを何というか。,多態性（ポリモーフィズム）,抽象化,継承（インヘリタンス）,実装,C,継承を使うことで、既存クラスの機能を再利用できます。\n 例：class Boss : public Enemy {}; コードの重複を減らし、保守しやすいプログラムを書くために重要な機能です。
11,継承元となるクラスを「基本クラス（ベースクラス）」と呼ぶのに対し、継承して作られた新しいクラスを何と呼ぶか。,派生クラス（サブクラス）,親クラス,ルートクラス,仮想クラス,A,継承元は基本クラス（ベースクラス）、継承先は派生クラス（サブクラス）と呼びます。\n「親クラス」「子クラス」という呼び方もよく使われます。
12,protected で指定されたメンバのアクセス範囲として正しいものはどれか。,自クラス内のみアクセス可能。,自クラス内および派生クラス内からアクセス可能。,どこからでもアクセス可能。,どのクラスからもアクセス不可能。,B,protected は「自分のクラス」と「継承したクラス」からアクセスできます。\n 一方、外部から boss.hp = 100; とすることはできません。
13,クラス Dog がクラス Animal を public 継承する場合の正しい記述はどれか。,class Dog : public Animal { ... };,class Dog extends Animal { ... };,class Dog implements Animal { ... };,class Dog (Animal) { ... };,A,C++の継承は \nclass 派生クラス\n : public 基本クラス {}\n と書きます。\nextends や implements は Java などの構文です。
